note1, note2, note3, note4, note5, scale,
C, D, E, G, A, C(add 2) 6, Pentatonic scale
C, E, F#, A, B, A Minor 1st Inversion 9 #11, Dorian pentatonic scale
C, E, F, G, B, C Major 7 11, Phrygian pentatonic scale
C, E, F, A, B, A Minor 1st Inversion 9 11, Aeolian pentatonic scale
C, E, F, G, Bb, C Dominant 11, Locrian pentatonic scale

C, E, G, A, B, C Maj 6/7, Maj7 pentatonic scale
C, E, G, A, Bb, C Dominant 6, Dominant 6 pentatonic scale
C, D, E, G, B, C Maj 7(add 2), Major 7/9 pentatonic scale
C, D, E, G, Bb, C(add 2) Dominant 7, Dominant 9 pentatonic scale
D, E, F, G, Bb, C Dom 7/9/11 (no root), Rootless Dom 7/9/11 pentatonic scale

C, D, Eb, G, B, C Minor Major (add2) 
D, Eb, F, G, B, G Dominant 2nd Inversion b13 
B, C, D, F, Ab, B Diminished b9

D, Eb, F, A, B, B minor7 b5 major 1st inversion 
B, C, Eb, Fb, G, C Major7 3rd Inversion with a minor 3rd
C, E, G, Ab, B, C Maj7 b13 2nd Inversion
C, Db, E, Gb, Ab, Db Minor Major 7 3rd Inversion 11
C, Db, E, Gb, A, Gb Minor 7 2nd Inversion #11
C, Db, E, Gb, Bb, Gb Dominant 7 1st Inversion #11
C, Db, E, G, Ab, C Major b9 b13
C, Db, E, G, A, C Major 6 b9
C, Db, E, G, Bb, C Dominant 7 b9
C, Db, E, Ab, Bb, Db Min 6 / C
C, Db, F, G, A, F(add2) 3rd inversion b13

C, D, E, Gb, Ab, C(add 2) Augmented #11
