intervals,notes,identification
"1,1,10","C,Db,D",Chromatic
"2,9,1","C,D,B",Maj7(no3)(no5)(add 2)
"3,8,1","C,Eb,B",MinorMajor7(no5)
"4,7,1","C,E,B",Major7(no5)
"6,1,5","C,Gb,G",sus#4
"6,5,1","C,Gb,B",Major7 b5(no3)
"7,4,1","C,G,B",Major7(no3)
"3,1,8","C,Eb,E",3(add #2)
"2,1,9","C,D,Eb",Minor(add 2)(no5)
"2,2,8","C,D,E",Major(add 2)(no5)
"3,7,2","C,Eb,Bb",Minor7(no5)
"4,6,2","C,E,Bb",7(no5)
"2,5,5","C,D,G",sus2
"6,4,2","C,Gb,Bb",Minor7 b5(no3)
"7,3,2","C,G,Bb",Minor7 (no3)
"3,3,6","C,Eb,Gb",Diminished
"3,4,5","C,Eb,G",Minor
"4,3,5","C,E,G",Major
"4,4,4","C,E,Ab",Augmented
